trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,12,-18.706363590321217,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-128.2236750019282,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,15,-57.48903919742292,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-51.703511105095096,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-76.66498838136579,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-40.53389438491884,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-79.71787593512369,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-106.47206745320547,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,11,-66.66157756959882,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,19.798005453705713,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-43.15380328106607,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-73.90299233883917,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-31.280640833705363,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-6.501718172084166,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,9,-8.791967328918659,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,10,13.171636418518274,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,2,-11.676776311841193,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-69.30642745109094,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,20.98450709249608,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,25.990808928457774,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,3,29.063101769752258,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,8,28.96131290513441,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,16,7.186887533102991,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,11,18.919703565038347,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,10,3.9113876365512477,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-33.91246316676957,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-8.433391834660284,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",35,0,-58.623604513329745,"{0: 31, 1: 0, 2: 2, 3: 0, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,15,10.545994189597675,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,7.2736264940826105,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
