trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.9999995000000417}",20,0,-169.08260043792225,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.001, 'e': 0.9999980000006666}",25,0,-98.15875972763108,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.001, 'e': 0.999995500003375}",20,13,-0.18912360178417598,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.001, 'e': 0.9999920000106667}",20,0,-59.289674498202814,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.001, 'e': 0.9999875000260416}",20,0,-110.7117479363636,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.001, 'e': 0.999982000054}",25,0,-116.39123368143264,"{0: 15, 1: 6, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.001, 'e': 0.9999755001000415}",20,0,-103.17319043114163,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.001, 'e': 0.9999680001706663}",25,0,-104.40473387086746,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
9,False,"{'a': 0.001, 'e': 0.9999595002733742}",25,0,-118.42840829201464,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.001, 'e': 0.9999500004166653}",25,0,-108.6380739728752,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.001, 'e': 0.9999395006100392}",25,0,-117.46464719350863,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
12,False,"{'a': 0.001, 'e': 0.9999280008639958}",25,0,-171.87642323156268,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
13,False,"{'a': 0.001, 'e': 0.9999155011900349}",20,3,-34.03755790578327,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.001, 'e': 0.9999020016006562}",20,0,-130.26085496403587,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.001, 'e': 0.9998875021093592}",30,0,-231.08186154279693,"{0: 13, 1: 8, 2: 4, 3: 2, 4: 3}",0
16,False,"{'a': 0.001, 'e': 0.9998720027306434}",25,0,-146.29019532654465,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.001, 'e': 0.9998555034800082}",25,0,-101.32451245404599,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.001, 'e': 0.9998380043739528}",20,0,-116.17526726861685,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
19,False,"{'a': 0.001, 'e': 0.9998195054299763}",30,0,-183.41868183519173,"{0: 13, 1: 5, 2: 9, 3: 2, 4: 1}",0
20,False,"{'a': 0.001, 'e': 0.9998000066665778}",25,0,-191.311943742374,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 4}",0
21,False,"{'a': 0.001, 'e': 0.9997795081032559}",25,0,-143.14418489572415,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
22,False,"{'a': 0.001, 'e': 0.9997580097605092}",25,0,-169.55223554149353,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
23,False,"{'a': 0.001, 'e': 0.9997355116598361}",20,0,-80.50290162978854,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",1
24,False,"{'a': 0.001, 'e': 0.9997120138237345}",25,0,-126.87112722443798,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
25,False,"{'a': 0.001, 'e': 0.9996875162757026}",25,0,-154.55019182877757,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
26,False,"{'a': 0.001, 'e': 0.9996620190402377}",30,0,-126.09486031319864,"{0: 15, 1: 7, 2: 7, 3: 0, 4: 1}",0
27,False,"{'a': 0.001, 'e': 0.9996355221428369}",25,0,-149.15335871431213,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
28,False,"{'a': 0.001, 'e': 0.9996080256099974}",25,0,-189.02640343540693,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
29,False,"{'a': 0.001, 'e': 0.9995795294692156}",30,0,-165.6464484251557,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
30,False,"{'a': 0.001, 'e': 0.9995500337489875}",25,0,-77.54393895551425,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
31,False,"{'a': 0.001, 'e': 0.999519538478809}",20,7,-112.95134453714711,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 2}",1
32,False,"{'a': 0.001, 'e': 0.9994880436891754}",20,0,-120.93130880007736,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 0.001, 'e': 0.9994555494115813}",25,0,-34.06954973381985,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
34,False,"{'a': 0.001, 'e': 0.9994220556785212}",25,0,-122.75459347095375,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
35,False,"{'a': 0.001, 'e': 0.9993875625234886}",20,0,-40.560551585784324,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
36,False,"{'a': 0.001, 'e': 0.9993520699809768}",25,0,-66.66651097133958,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
37,False,"{'a': 0.001, 'e': 0.9993155780864782}",30,0,-112.89444185028867,"{0: 16, 1: 8, 2: 4, 3: 1, 4: 1}",0
38,False,"{'a': 0.001, 'e': 0.9992780868764849}",20,0,-98.37398484048241,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
39,False,"{'a': 0.001, 'e': 0.999239596388488}",20,0,-133.2543806832198,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
40,False,"{'a': 0.001, 'e': 0.9992001066609779}",30,0,-95.76421937212073,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
41,False,"{'a': 0.001, 'e': 0.9991596177334445}",20,14,-14.220241415519856,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.001, 'e': 0.9991181296463766}",25,0,-103.08737307325357,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.001, 'e': 0.9990756424412622}",30,0,-147.9220227322062,"{0: 20, 1: 0, 2: 5, 3: 4, 4: 1}",0
44,False,"{'a': 0.001, 'e': 0.9990321561605888}",25,0,-111.4480132312529,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
45,False,"{'a': 0.001, 'e': 0.9989876708478425}",25,0,-71.41655335297013,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
46,False,"{'a': 0.001, 'e': 0.9989421865475084}",20,0,-108.42934278058839,"{0: 9, 1: 1, 2: 9, 3: 1, 4: 0}",0
47,False,"{'a': 0.001, 'e': 0.9988957033050712}",20,0,-50.29051924381007,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.001, 'e': 0.9988482211670138}",20,0,-24.800938608989913,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
49,False,"{'a': 0.001, 'e': 0.9987997401808185}",25,0,-160.33778805824633,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
50,False,"{'a': 0.001, 'e': 0.9987502603949663}",25,5,-1.0264600782749635,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.001, 'e': 0.9986997818589368}",20,0,-146.74228120189247,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
52,False,"{'a': 0.001, 'e': 0.9986483046232089}",20,12,0.9548909068362894,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.001, 'e': 0.9985958287392593}",30,0,-85.04674049354054,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
54,False,"{'a': 0.001, 'e': 0.9985423542595644}",25,0,-125.88659975278819,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
55,False,"{'a': 0.001, 'e': 0.9984878812375985}",20,0,-114.4452019071063,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
56,False,"{'a': 0.001, 'e': 0.9984324097278344}",20,0,-119.12855494142953,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
57,False,"{'a': 0.001, 'e': 0.9983759397857438}",30,0,-218.3853940769852,"{0: 15, 1: 6, 2: 5, 3: 0, 4: 4}",0
58,False,"{'a': 0.001, 'e': 0.9983184714677966}",20,0,-36.139875280452934,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
59,False,"{'a': 0.001, 'e': 0.9982600048314613}",20,0,-76.98525146693281,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
60,False,"{'a': 0.001, 'e': 0.9982005399352042}",20,0,-157.54897839851876,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
61,False,"{'a': 0.001, 'e': 0.9981400768384904}",25,0,-71.45163211734771,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.001, 'e': 0.9980786156017829}",20,0,-114.17045493665358,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.001, 'e': 0.9980161562865429}",20,0,-122.97793288240605,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
64,False,"{'a': 0.001, 'e': 0.99795269895523}",20,0,-190.92284435751654,"{0: 10, 1: 1, 2: 2, 3: 5, 4: 2}",0
65,False,"{'a': 0.001, 'e': 0.9978882436713011}",25,0,-148.31059899719278,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
66,False,"{'a': 0.001, 'e': 0.9978227904992117}",20,0,-26.91667059085992,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
67,False,"{'a': 0.001, 'e': 0.9977563395044151}",20,0,-100.01600813627957,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
