trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-131.00170916466806,"{0: 7, 1: 4, 2: 6, 3: 3, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,0,-204.4910772292074,"{0: 18, 1: 3, 2: 3, 3: 3, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-81.39004781388356,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",30,0,-256.7895338545426,"{0: 15, 1: 4, 2: 5, 3: 2, 4: 4}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-90.61225378935217,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,12,-33.625169315576585,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-107.5235909639917,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-171.75335509027136,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-62.10644167232256,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-98.21666656940505,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-170.28827532863798,"{0: 9, 1: 4, 2: 2, 3: 3, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-19.74873591152057,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-169.71647692227376,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-109.70433080575188,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-285.51736351775094,"{0: 8, 1: 5, 2: 7, 3: 0, 4: 5}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-36.396857595237144,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-83.2861426933172,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
