trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",25,1,-104.11904172746728,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.998001}",20,0,-104.7552415281385,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.997002999}",30,0,-108.14768653478814,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.996005996001}",25,0,-129.2855792418324,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.995009990004999}",35,5,-216.72615317749688,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 4}",1
6,False,"{'a': 0.5, 'e': 0.994014980014994}",35,0,-220.9650337597772,"{0: 22, 1: 4, 2: 4, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.993020965034979}",35,0,-215.89697963075062,"{0: 21, 1: 2, 2: 7, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.992027944069944}",25,0,-78.60240526464543,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.991035916125874}",25,0,-108.81022468747726,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9900448802097482}",30,0,-92.52506294519311,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9890548353295384}",25,5,-131.4638109906578,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.9880657804942089}",25,0,-234.26989181175483,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9870777147137147}",20,0,-97.97243734134112,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.986090636999001}",35,0,-294.55627312120896,"{0: 16, 1: 4, 2: 7, 3: 5, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.985104546362002}",25,0,-192.67347394956042,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9841194418156399}",20,0,-83.5168416773528,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9831353223738244}",20,0,-143.8767798548067,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9821521870514505}",20,0,-61.39422172631893,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.981170034864399}",25,0,-80.68803641681473,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9801888648295347}",25,0,-67.62421810925066,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-220.02592100174462,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-32.32294375273373,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-229.09344183256067,"{0: 13, 1: 1, 2: 13, 3: 1, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-150.44172961171566,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-67.00418073967582,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-5.065879184906531,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-62.69921379231052,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-77.75485493249028,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-58.67200427242472,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-49.81849708701683,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
